Case_ID,Person_ID,Age_Group,Day,Latitude,Longitude,Timestamp,Movement_Duration_Min,Distance_km,Speed_kmh,Previous_Area,Target_Area,Hour,Weekday,Is_Weekend
MP-2026-001,P001,36-45,Friday,23.216252,77.431261,2026-01-02 17:38:00,19.01,6.84,21.58,Home,College,17,Friday,0
MP-2026-001,P001,26-35,Friday,23.205937,77.437651,2026-01-03 04:59:00,12.61,5.04,24.0,College,Mall,4,Saturday,1
MP-2026-001,P001,36-45,Thursday,23.212673,77.432724,2026-01-03 04:27:00,13.86,6.83,29.55,Mall,College,4,Saturday,1
MP-2026-001,P001,26-35,Friday,23.207,77.437999,2026-01-02 21:38:00,28.96,6.67,13.81,College,Mall,21,Friday,0
MP-2026-001,P001,26-35,Thursday,23.261039,77.414497,2026-01-02 20:46:00,10.73,1.3,7.29,Mall,Home,20,Friday,0
MP-2026-001,P001,36-45,Saturday,23.259388,77.402328,2026-01-03 01:17:00,27.05,13.32,29.53,Home,Market,1,Saturday,1
MP-2026-001,P001,18-25,Monday,23.239216,77.40297,2026-01-02 20:25:00,23.35,4.15,10.67,Market,Park,20,Friday,0
MP-2026-001,P001,36-45,Monday,23.258188,77.404734,2026-01-02 20:10:00,12.75,6.89,32.45,Park,Market,20,Friday,0
MP-2026-001,P001,36-45,Sunday,23.258893,77.412229,2026-01-02 19:08:00,28.8,0.96,2.0,Market,Home,19,Friday,0
MP-2026-001,P001,26-35,Wednesday,23.216575,77.433627,2026-01-02 23:34:00,19.39,6.7,20.74,Home,College,23,Friday,0
MP-2026-001,P001,18-25,Wednesday,23.258964,77.411587,2026-01-02 23:08:00,22.66,2.15,5.7,College,Home,23,Friday,0
MP-2026-001,P001,36-45,Wednesday,23.26186,77.40927,2026-01-02 16:29:00,11.78,5.9,30.08,Home,Bus_Stop,16,Friday,0
MP-2026-001,P001,26-35,Saturday,23.215345,77.431488,2026-01-02 18:27:00,22.63,12.98,34.41,Bus_Stop,College,18,Friday,0
MP-2026-001,P001,18-25,Thursday,23.259507,77.411566,2026-01-03 02:32:00,9.51,2.53,15.95,College,Home,2,Saturday,1
MP-2026-001,P001,36-45,Wednesday,23.258706,77.410218,2026-01-02 21:36:00,27.32,9.25,20.33,Home,Bus_Stop,21,Friday,0
MP-2026-001,P001,36-45,Monday,23.214805,77.431824,2026-01-02 22:51:00,11.56,6.5,33.73,Bus_Stop,College,22,Friday,0
MP-2026-001,P001,18-25,Thursday,23.25847,77.403899,2026-01-03 04:32:00,28.53,18.08,38.03,College,Market,4,Saturday,1
MP-2026-001,P001,18-25,Thursday,23.260821,77.41122,2026-01-02 23:55:00,12.72,3.3,15.54,Market,Home,23,Friday,0
MP-2026-001,P001,18-25,Wednesday,23.258443,77.397092,2026-01-02 13:08:00,15.47,5.43,21.07,Home,Hospital,13,Friday,0
MP-2026-001,P001,18-25,Monday,23.239762,77.399858,2026-01-03 03:18:00,17.84,1.47,4.96,Hospital,Park,3,Saturday,1
MP-2026-001,P001,26-35,Monday,23.25856,77.396614,2026-01-02 19:30:00,24.45,10.39,25.5,Park,Hospital,19,Friday,0
MP-2026-001,P001,18-25,Monday,23.259511,77.412353,2026-01-03 00:04:00,26.25,5.17,11.82,Hospital,Home,0,Saturday,1
MP-2026-001,P001,26-35,Wednesday,23.258357,77.411778,2026-01-02 13:23:00,28.82,15.65,32.57,Home,Bus_Stop,13,Friday,0
MP-2026-001,P001,18-25,Thursday,23.24259120228332,77.45782897884632,2026-01-02 18:34:00,25.25,8.27,85.3411589324856,Bus_Stop,College,18,Friday,0
MP-2026-001,P001,36-45,Wednesday,23.289520481017284,77.42585641803609,2026-01-02 20:06:00,28.84,10.23,108.59348791746837,College,Market,20,Friday,0
MP-2026-001,P001,36-45,Monday,23.260954,77.412312,2026-01-02 23:26:00,31.63,5.32,10.09,Market,Home,23,Friday,0
MP-2026-001,P001,26-35,Wednesday,23.218941,77.431963,2026-01-03 04:48:00,18.05,4.67,15.52,Home,College,4,Saturday,1
MP-2026-001,P001,36-45,Monday,23.258851,77.404888,2026-01-02 17:30:00,7.88,2.9,22.07,College,Market,17,Friday,0
MP-2026-001,P001,36-45,Saturday,23.260752,77.412711,2026-01-02 22:02:00,21.23,1.35,3.81,Market,Home,22,Friday,0
MP-2026-001,P001,36-45,Friday,23.259969,77.410562,2026-01-02 13:39:00,28.43,16.86,35.58,Home,Bus_Stop,13,Friday,0
MP-2026-001,P001,18-25,Thursday,23.259365,77.404309,2026-01-03 01:59:00,50.82,26.77,31.61,Bus_Stop,Market,1,Saturday,1
MP-2026-001,P001,36-45,Sunday,23.260179,77.412811,2026-01-02 19:14:00,18.11,1.39,4.59,Market,Home,19,Friday,0
